X: -0.010745	Y: 0.030281	Z: 1.015873
X: -0.005861	Y: 0.222711	Z: 1.243468
X: -0.014652	Y: 0.035165	Z: 1.036386
X: -0.004884	Y: 0.019536	Z: 0.984615
X: -0.008791	Y: 0.029304	Z: 1.040293
X: -0.005861	Y: 0.034188	Z: 1.011966
X: -0.004884	Y: 0.036142	Z: 1.009035
X: -0.003907	Y: 0.034188	Z: 1.003175
X: -0.006838	Y: 0.033211	Z: 0.978755
X: -0.006838	Y: 0.032234	Z: 1.010012
X: -0.008791	Y: 0.028327	Z: 0.982662
X: -0.005861	Y: 0.032234	Z: 1.020757
X: -0.005861	Y: 0.027350	Z: 1.011966
X: -0.002930	Y: 0.031258	Z: 1.014896
X: -0.003907	Y: 0.032234	Z: 0.993407
X: -0.000977	Y: 0.027350	Z: 0.986569
X: -0.008791	Y: 0.040049	Z: 1.009035
X: -0.006838	Y: 0.032234	Z: 1.006105
X: -0.005861	Y: 0.037118	Z: 1.029548
X: -0.006838	Y: 0.040049	Z: 0.970940
X: -0.005861	Y: 0.037118	Z: 0.998291
X: -0.004884	Y: 0.028327	Z: 1.019780
X: -0.006838	Y: 0.037118	Z: 0.989499
X: -0.012698	Y: 0.032234	Z: 1.042247
X: -0.000977	Y: 0.028327	Z: 0.994383
X: -0.005861	Y: 0.035165	Z: 1.015873
X: -0.009768	Y: 0.035165	Z: 1.028571
X: -0.005861	Y: 0.031258	Z: 0.982662
X: -0.002930	Y: 0.031258	Z: 1.007082
X: -0.004884	Y: 0.030281	Z: 0.994383
X: -0.005861	Y: 0.031258	Z: 1.043223
X: -0.008791	Y: 0.024420	Z: 1.013919
X: -0.004884	Y: 0.030281	Z: 1.008059
X: -0.011722	Y: 0.033211	Z: 1.009035
X: -0.003907	Y: 0.036142	Z: 0.989499
X: -0.013675	Y: 0.029304	Z: 1.002198
X: -0.005861	Y: 0.031258	Z: 0.991453
X: -0.003907	Y: 0.030281	Z: 1.005128
X: -0.003907	Y: 0.023443	Z: 0.968987
X: -0.005861	Y: 0.029304	Z: 0.978755
X: -0.005861	Y: 0.031258	Z: 1.010989
X: -0.003907	Y: 0.041026	Z: 1.013919
X: -0.007814	Y: 0.036142	Z: 0.990476
X: -0.005861	Y: 0.037118	Z: 0.999267
X: -0.006838	Y: 0.031258	Z: 0.999267
X: -0.008791	Y: 0.030281	Z: 1.044200
X: -0.008791	Y: 0.033211	Z: 0.984615
X: -0.006838	Y: 0.030281	Z: 0.976801
X: 0.001954	Y: 0.034188	Z: 1.024664
X: -0.005861	Y: 0.033211	Z: 0.991453
X: -0.010745	Y: 0.032234	Z: 1.011966
X: -0.005861	Y: 0.031258	Z: 1.013919
X: -0.005861	Y: 0.035165	Z: 0.979731
X: -0.002930	Y: 0.031258	Z: 0.995360
X: -0.004884	Y: 0.025397	Z: 0.996337
X: -0.005861	Y: 0.031258	Z: 1.020757
X: -0.005861	Y: 0.033211	Z: 1.006105
X: -0.002930	Y: 0.026374	Z: 1.043223
X: -0.005861	Y: 0.035165	Z: 1.013919
X: -0.005861	Y: 0.031258	Z: 1.003175
X: -0.004884	Y: 0.039072	Z: 1.044200
X: -0.008791	Y: 0.034188	Z: 1.001221
X: -0.004884	Y: 0.030281	Z: 0.998291
X: -0.004884	Y: 0.036142	Z: 0.975824
X: -0.002930	Y: 0.031258	Z: 1.005128
X: -0.003907	Y: 0.029304	Z: 1.050061
X: -0.008791	Y: 0.030281	Z: 1.005128
X: -0.003907	Y: 0.026374	Z: 1.061783
X: -0.008791	Y: 0.034188	Z: 0.982662
X: -0.002930	Y: 0.036142	Z: 1.085226
X: -0.007814	Y: 0.035165	Z: 0.978755
X: -0.003907	Y: 0.036142	Z: 1.028571
X: -0.003907	Y: 0.025397	Z: 1.000244
X: -0.005861	Y: 0.031258	Z: 0.972894
X: -0.003907	Y: 0.028327	Z: 1.007082
X: -0.008791	Y: 0.028327	Z: 1.010989
X: -0.004884	Y: 0.030281	Z: 1.033455
X: -0.007814	Y: 0.025397	Z: 1.024664
X: -0.006838	Y: 0.029304	Z: 1.029548
X: -0.005861	Y: 0.026374	Z: 0.971917
X: -0.008791	Y: 0.032234	Z: 0.999267
X: -0.003907	Y: 0.031258	Z: 1.012943
X: 0.001954	Y: 0.035165	Z: 1.006105
X: -0.006838	Y: 0.029304	Z: 0.997314
X: -0.005861	Y: 0.037118	Z: 0.975824
X: -0.003907	Y: 0.029304	Z: 1.022711
X: -0.002930	Y: 0.023443	Z: 1.006105
X: -0.006838	Y: 0.029304	Z: 0.990476
X: -0.009768	Y: 0.035165	Z: 1.043223
X: -0.007814	Y: 0.028327	Z: 1.047131
X: -0.004884	Y: 0.039072	Z: 1.019780
X: -0.011722	Y: 0.036142	Z: 0.974847
X: -0.006838	Y: 0.034188	Z: 1.029548
X: -0.003907	Y: 0.032234	Z: 0.994383
X: -0.004884	Y: 0.029304	Z: 1.027595
X: -0.000977	Y: 0.035165	Z: 1.024664
X: -0.007814	Y: 0.036142	Z: 0.992430
X: -0.012698	Y: 0.023443	Z: 1.004151
X: -0.008791	Y: 0.016606	Z: 1.019780
X: 0.013675	Y: 0.032234	Z: 1.018803
X: -0.013675	Y: 0.032234	Z: 0.997314
X: 0.000977	Y: -0.042979	Z: 0.994383
X: -0.000977	Y: -0.015629	Z: 1.003175
X: 0.003907	Y: 0.019536	Z: 0.987546
X: 0.025397	Y: 0.080098	Z: 0.926007
X: -0.025397	Y: -0.180708	Z: 1.141880
X: 0.030281	Y: -0.200244	Z: 1.097924
X: 0.172894	Y: -0.057631	Z: 0.973871
X: 0.185592	Y: -0.060562	Z: 1.014896
X: 0.198291	Y: -0.068376	Z: 0.998291
X: 0.208059	Y: -0.063492	Z: 0.965079
X: 0.213919	Y: -0.061538	Z: 0.993407
X: 0.221734	Y: -0.075214	Z: 0.968987
X: 0.229548	Y: -0.068376	Z: 0.962149
X: 0.232479	Y: -0.080098	Z: 0.980708
X: 0.239316	Y: -0.069353	Z: 0.968010
X: 0.249084	Y: -0.071306	Z: 0.996337
